arama_metni,kaynak,sebep
"118/714;
114;617;
620;624;
012;017;020 | 020",karisik_cozulemeyen,BELIRSIZ_2_ADAY
"120/218;214-T;
218-T;218-BT | 218",karisik_cozulemeyen,BELIRSIZ_3_ADAY
"120/218;214-T;
218-T;218-BT | 218-T",karisik_cozulemeyen,BELIRSIZ_3_ADAY
"120/218;214-T;
218-T;218-BT | 218-BT",karisik_cozulemeyen,BELIRSIZ_3_ADAY
"123/020;717;
212;217;617;
620;624 | 020",karisik_cozulemeyen,BELIRSIZ_2_ADAY
"135/618;214,5;
214,5-E;618-E; | 618",karisik_cozulemeyen,BELIRSIZ_2_ADAY
"135/618;214,5;
214,5-E;618-E; | 618-E",karisik_cozulemeyen,BELIRSIZ_2_ADAY
"137/214;618;
620;624;014; | 014",karisik_cozulemeyen,BELIRSIZ_2_ADAY
"150/206;208;110;115;
008;D;008;010;014;
715;617 | 008",karisik_cozulemeyen,BELIRSIZ_3_ADAY
"150/206;208;110;115;
008;D;008;010;014;
715;617 | 010",karisik_cozulemeyen,BELIRSIZ_2_ADAY
"159/012;015;017;020;
018;715;720 | 015",karisik_cozulemeyen,BELIRSIZ_2_ADAY
"159/012;015;017;020;
018;715;720 | 020",karisik_cozulemeyen,BELIRSIZ_2_ADAY
"168/212;220;617;
620;017;020;714
;012;212-t;012
 | 212",karisik_cozulemeyen,BELIRSIZ_2_ADAY
"168/212;220;617;
620;017;020;714
;012;212-t;012
 | 020",karisik_cozulemeyen,BELIRSIZ_2_ADAY
"168/212;220;617;
620;017;020;714
;012;212-t;012
 | 012",karisik_cozulemeyen,BELIRSIZ_2_ADAY
"168/212;220;617;
620;017;020;714
;012;212-t;012
 | 212-t",karisik_cozulemeyen,BELIRSIZ_2_ADAY
"169/215;712;715;
720;625 ; 630 ; 012 ;
011,3 ;008 | 012",karisik_cozulemeyen,BELIRSIZ_2_ADAY
"176/010;012;016;019;
211;208;210 | 010",karisik_cozulemeyen,BELIRSIZ_2_ADAY
193/212;617;620;017 | 017,karisik_cozulemeyen,BELIRSIZ_2_ADAY
198/018;023;218;214 | 018,karisik_cozulemeyen,BELIRSIZ_2_ADAY
"200/020;025;030;035;
045;024-T;028-T
048-T;040-b;025-
b;050-y;025-y;040-d | 025",karisik_cozulemeyen,BELIRSIZ_3_ADAY
"200/020;025;030;035;
045;024-T;028-T
048-T;040-b;025-
b;050-y;025-y;040-d | 040-b",karisik_cozulemeyen,BELIRSIZ_2_ADAY
"200/020;025;030;035;
045;024-T;028-T
048-T;040-b;025-
b;050-y;025-y;040-d | 025-",karisik_cozulemeyen,BELIRSIZ_3_ADAY
"200/020;025;030;035;
045;024-T;028-T
048-T;040-b;025-
b;050-y;025-y;040-d | 025-y",karisik_cozulemeyen,BELIRSIZ_3_ADAY
"200/020;025;030;035;
045;024-T;028-T
048-T;040-b;025-
b;050-y;025-y;040-d | 040-d",karisik_cozulemeyen,BELIRSIZ_2_ADAY
212/025;025-M | 025,karisik_cozulemeyen,BELIRSIZ_2_ADAY
212/025;025-M | 025-M,karisik_cozulemeyen,BELIRSIZ_2_ADAY
"218/020-K; 218-30X20 /
218-30X20/41;020;025;
030;040;050;060 | 020-K",karisik_cozulemeyen,BELIRSIZ_2_ADAY
"218/020-K; 218-30X20 /
218-30X20/41;020;025;
030;040;050;060 | 020",karisik_cozulemeyen,BELIRSIZ_2_ADAY
221/212;215;617;625;017 | 017,karisik_cozulemeyen,BELIRSIZ_2_ADAY
"226/010;012;210;212;217
;617;620;622;712;812; | 010",karisik_cozulemeyen,BELIRSIZ_2_ADAY
"226/010;012;210;212;217
;617;620;622;712;812; | 012",karisik_cozulemeyen,BELIRSIZ_4_ADAY
"233/014;017;020;
022;210;212;617
620;914;917;017-T;
020-T;022-T
212-T;214-T;620-T;622-T | 014",karisik_cozulemeyen,BELIRSIZ_3_ADAY
"233/014;017;020;
022;210;212;617
620;914;917;017-T;
020-T;022-T
212-T;214-T;620-T;622-T | 017",karisik_cozulemeyen,BELIRSIZ_4_ADAY
"233/014;017;020;
022;210;212;617
620;914;917;017-T;
020-T;022-T
212-T;214-T;620-T;622-T | 020",karisik_cozulemeyen,BELIRSIZ_4_ADAY
"233/014;017;020;
022;210;212;617
620;914;917;017-T;
020-T;022-T
212-T;214-T;620-T;622-T | 022",karisik_cozulemeyen,BELIRSIZ_3_ADAY
"233/014;017;020;
022;210;212;617
620;914;917;017-T;
020-T;022-T
212-T;214-T;620-T;622-T | 212",karisik_cozulemeyen,BELIRSIZ_2_ADAY
"233/014;017;020;
022;210;212;617
620;914;917;017-T;
020-T;022-T
212-T;214-T;620-T;622-T | 620",karisik_cozulemeyen,BELIRSIZ_4_ADAY
"233/014;017;020;
022;210;212;617
620;914;917;017-T;
020-T;022-T
212-T;214-T;620-T;622-T | 017-T",karisik_cozulemeyen,BELIRSIZ_4_ADAY
"233/014;017;020;
022;210;212;617
620;914;917;017-T;
020-T;022-T
212-T;214-T;620-T;622-T | 020-T",karisik_cozulemeyen,BELIRSIZ_4_ADAY
"233/014;017;020;
022;210;212;617
620;914;917;017-T;
020-T;022-T
212-T;214-T;620-T;622-T | 022-T",karisik_cozulemeyen,BELIRSIZ_3_ADAY
"233/014;017;020;
022;210;212;617
620;914;917;017-T;
020-T;022-T
212-T;214-T;620-T;622-T | 212-T",karisik_cozulemeyen,BELIRSIZ_2_ADAY
"233/014;017;020;
022;210;212;617
620;914;917;017-T;
020-T;022-T
212-T;214-T;620-T;622-T | 620-T",karisik_cozulemeyen,BELIRSIZ_4_ADAY
"238/210;212;617;620;
622;012 ;017;022; | 012",karisik_cozulemeyen,BELIRSIZ_2_ADAY
"238/210;212;617;620;
622;012 ;017;022; | 017",karisik_cozulemeyen,BELIRSIZ_2_ADAY
"238/210;212;617;620;
622;012 ;017;022; | 022",karisik_cozulemeyen,BELIRSIZ_2_ADAY
"249/212;217
;617;622;012 | 012",karisik_cozulemeyen,BELIRSIZ_2_ADAY
270/012;212;617 | 012,karisik_cozulemeyen,BELIRSIZ_2_ADAY
"274/014;214
;022;222;215-T | 014",karisik_cozulemeyen,BELIRSIZ_2_ADAY
"274/014;214
;022;222;215-T | 022",karisik_cozulemeyen,BELIRSIZ_2_ADAY
276/010;210 | 010,karisik_cozulemeyen,BELIRSIZ_2_ADAY
