dosya_adi,stok_kodu,uzanti,dosya_boyutu_byte,veritabaninda_var_mi
199_210_214_617_620_622_1.jpg,199_210_214_617_620_622,.jpg,8192,False
199_210_214_617_620_622_2.jpg,199_210_214_617_620_622,.jpg,8192,False
200_020_025_030_035_045_024-T_028-T_048-T_040-b_025-_b_050-y_025-y_040-d_1.png,200_020_025_030_035_045_024-T_028-T_048-T_040-b_025-_b_050-y_025-y_040-d,.png,12123,False
201_010_015_020_035_1.png,201_010_015_020_035,.png,25763,False
202_060_829_830_1.png,202_060_829_830,.png,19876,False
202_060_829_830_2.png,202_060_829_830,.png,19876,False
2036010_1.jpeg,2036010,.jpeg,35930,False
203_034_1.png,203_034,.png,27421,False
204_027_1.png,204_027,.png,25484,False
205_030_1.png,205_030,.png,11134,False
206_030_1.png,206_030,.png,27160,False
208_014_1.png,208_014,.png,20729,False
209_020_1.png,209_020,.png,21224,False
210_014_1.png,210_014,.png,23945,False
211_035_1.png,211_035,.png,22650,False
212_025_025-M_1.png,212_025_025-M,.png,21655,False
213_035_1.png,213_035,.png,13073,False
214_037_1.png,214_037,.png,13820,False
215_060_036_215_620_215_1.png,215_060_036_215_620_215,.png,19911,False
215_060_036_215_620_215_2.png,215_060_036_215_620_215,.png,19911,False
215_060_036_215_620_215_3.png,215_060_036_215_620_215,.png,19911,False
216_079_035_1.png,216_079_035,.png,21286,False
2179037-K_1.jpeg,2179037-K,.jpeg,52486,False
217_030_040_1.png,217_030_040,.png,16027,False
218_020-K_218-30X20_218-30X20_41_020_025_030_040_050_060_1.png,218_020-K_218-30X20_218-30X20_41_020_025_030_040_050_060,.png,20850,False
220_210_212_220_618_620_624_1.png,220_210_212_220_618_620_624,.png,20472,False
220_210_212_220_618_620_624_2.png,220_210_212_220_618_620_624,.png,20472,False
221_212_215_617_625_017_1.png,221_212_215_617_625_017,.png,18867,False
221_212_215_617_625_017_2.png,221_212_215_617_625_017,.png,18867,False
221_212_215_617_625_017_3.png,221_212_215_617_625_017,.png,18867,False
222_017_023_028_025_1.jpg,222_017_023_028_025,.jpg,4096,False
223_212_214_617_620_622_712_1.png,223_212_214_617_620_622_712,.png,15221,False
223_212_214_617_620_622_712_2.png,223_212_214_617_620_622_712,.png,15221,False
223_212_214_617_620_622_712_3.png,223_212_214_617_620_622_712,.png,15221,False
224_212_214_617_620_622_210_1.png,224_212_214_617_620_622_210,.png,16592,False
224_212_214_617_620_622_210_2.png,224_212_214_617_620_622_210,.png,16592,False
225_212_214_617_620_622_1.png,225_212_214_617_620_622,.png,17334,False
225_212_214_617_620_622_2.png,225_212_214_617_620_622,.png,17334,False
226_010_012_210_212_217_617_620_622_712_812_1.png,226_010_012_210_212_217_617_620_622_712_812,.png,19185,False
226_010_012_210_212_217_617_620_622_712_812_2.png,226_010_012_210_212_217_617_620_622_712_812,.png,19185,False
226_010_012_210_212_217_617_620_622_712_812_3.png,226_010_012_210_212_217_617_620_622_712_812,.png,19185,False
226_010_012_210_212_217_617_620_622_712_812_4.png,226_010_012_210_212_217_617_620_622_712_812,.png,19185,False
226_010_012_210_212_217_617_620_622_712_812_5.png,226_010_012_210_212_217_617_620_622_712_812,.png,19185,False
227_021_1.jpg,227_021,.jpg,4096,False
228_210_212_615_617_620_624_717_1.png,228_210_212_615_617_620_624_717,.png,19172,False
228_210_212_615_617_620_624_717_2.png,228_210_212_615_617_620_624_717,.png,19172,False
228_210_212_615_617_620_624_717_3.png,228_210_212_615_617_620_624_717,.png,19172,False
229_012_620_622_1.png,229_012_620_622,.png,17180,False
229_012_620_622_2.png,229_012_620_622,.png,17180,False
230_210_1.png,230_210,.png,16431,False
231_210_214_617_620_624_620-İ_624-İ_025-İ_1.jpg,231_210_214_617_620_624_620-İ_624-İ_025-İ,.jpg,4096,False
231_210_214_617_620_624_620-İ_624-İ_025-İ_2.jpg,231_210_214_617_620_624_620-İ_624-İ_025-İ,.jpg,4096,False
231_210_214_617_620_624_620-İ_624-İ_025-İ_3.jpg,231_210_214_617_620_624_620-İ_624-İ_025-İ,.jpg,4096,False
