stok_kodu,dosya_adi,ana_gorsel_mi,sira_no
129603,129603_1.jpg,True,1
1297025,1297025_1.jpg,True,1
1298020,1298020_1.jpg,True,1
1298025,1298025_1.jpg,True,1
1299020,1299020_1.jpg,True,1
1300034,1300034_1.jpg,True,1
1301,1301_1.png,True,1
1302106,1302106_1.jpg,True,1
1314810,1314810_1.jpg,True,1
1315028,1315028_1.jpg,True,1
1316012,1316012_1.jpg,True,1
1317032,1317032_1.jpg,True,1
1318049,1318049_1.jpg,True,1
1319080,1319080_1.jpg,True,1
1320,1320_1.jpg,True,1
132103,132103_1.jpg,True,1
132203,132203_1.jpg,True,1
132302.5,132302.5_1.jpg,True,1
1324019,1324019_1.jpg,True,1
1325910,1325910_1.jpg,True,1
1326027,1326027_1.jpg,True,1
1327810,1327810_1.jpg,True,1
1328021,1328021_1.jpg,True,1
1329,1329_1.jpg,True,1
133003,133003_1.jpg,True,1
1331019,1331019_1.jpg,True,1
1332,1332_1.jpg,True,1
133301,133301_1.jpg,True,1
133402,133402_1.jpg,True,1
133502,133502_1.jpg,True,1
1337032,1337032_1.jpg,True,1
1338025,1338025_1.jpg,True,1
133905,133905_1.jpg,True,1
1340745,1340745_1.jpg,True,1
1341720,1341720_1.jpg,True,1
1342018,1342018_1.jpg,True,1
1343015,1343015_1.jpg,True,1
134401.5,134401.5_1.jpg,True,1
1345717,1345717_1.jpg,True,1
134605,134605_1.jpg,True,1
134703,134703_1.jpg,True,1
134803,134803_1.png,True,1
1349017,1349017_1.png,True,1
135001.5,135001.5_1.jpg,True,1
1351011,1351011_1.jpg,True,1
1352020,1352020_1.jpg,True,1
135304,135304_1.png,True,1
1354106,1354106_1.jpg,True,1
1355115,1355115_1.jpg,True,1
135605,135605_1.jpg,True,1
1357(KISTIRMA),1357(KISTIRMA)_1.jpg,True,1
1358815,1358815_1.jpg,True,1
13599010,13599010_1.jpg,True,1
1359909,1359909_1.jpg,True,1
1360020,1360020_1.jpg,True,1
1361909,1361909_1.jpg,True,1
1362015,1362015_1.jpg,True,1
1362020,1362020_1.jpg,True,1
136308,136308_1.jpg,True,1
1364911,1364911_1.jpg,True,1
136502.5,136502.5_1.jpg,True,1
1366020,1366020_1.jpg,True,1
1367209,1367209_1.jpg,True,1
1368,1368_1.jpg,True,1
136903,136903_1.jpg,True,1
1370014,1370014_1.jpg,True,1
1371021,1371021_1.jpg,True,1
1372012,1372012_1.jpg,True,1
1373015.5,1373015.5_1.jpg,True,1
1374911.3,1374911.3_1.jpg,True,1
1375,1375_1.jpg,True,1
1376025,1376025_1.jpg,True,1
1377618,1377618_1.png,True,1
1378207,1378207_1.png,True,1
1378620,1378620_1.png,True,1
1379030,1379030_1.jpg,True,1
1380037,1380037_1.jpg,True,1
1381025,1381025_1.jpg,True,1
1382020,1382020_1.png,True,1
1384,1384_1.jpg,True,1
1385020,1385020_1.jpg,True,1
1386011.5,1386011.5_1.jpg,True,1
138702,138702_1.png,True,1
1388071,1388071_1.jpg,True,1
1389032,1389032_1.jpg,True,1
139005.5,139005.5_1.jpg,True,1
1391028,1391028_1.jpg,True,1
13920125,13920125_1.jpg,True,1
139303.5,139303.5_1.png,True,1
1394040,1394040_1.jpg,True,1
1395,1395_1.jpg,True,1
1396009,1396009_1.jpg,True,1
1397031.4,1397031.4_1.jpg,True,1
1398009,1398009_1.jpg,True,1
1399015,1399015_1.jpg,True,1
1399018,1399018_1.jpg,True,1
1399021,1399021_1.jpg,True,1
1400802,1400802_1.jpg,True,1
1401019,1401019_1.png,True,1
1402030,1402030_1.jpg,True,1
1403040,1403040_1.png,True,1
140404,140404_1.jpg,True,1
1405033,1405033_1.jpg,True,1
1406030,1406030_1.jpg,True,1
1407030,1407030_1.jpg,True,1
1408026,1408026_1.png,True,1
1409014,1409014_1.jpg,True,1
1410040,1410040_1.jpg,True,1
1411030,1411030_1.png,True,1
1412020,1412020_1.jpg,True,1
141302.5,141302.5_1.jpg,True,1
1414050,1414050_1.jpg,True,1
1415820,1415820_1.jpeg,True,1
141601.5,141601.5_1.png,True,1
1417026,1417026_1.jpg,True,1
1418020,1418020_1.jpg,True,1
1420,1420_1.jpg,True,1
1422027,1422027_1.jpg,True,1
1423016,1423016_1.jpeg,True,1
1424021,1424021_1.jpg,True,1
1425024,1425024_1.png,True,1
1426004,1426004_1.jpg,True,1
1427911,1427911_1.jpg,True,1
1428048,1428048_1.jpg,True,1
1428050,1428050_1.jpg,True,1
1429023,1429023_1.jpg,True,1
1430030,1430030_1.jpg,True,1
1431020,1431020_1.jpg,True,1
1432020,1432020_1.jpg,True,1
1433,1433_1.jpg,True,1
1434030,1434030_1.png,True,1
1435015,1435015_1.jpg,True,1
1436060,1436060_1.jpg,True,1
143703.5,143703.5_1.jpg,True,1
1438014,1438014_1.jpg,True,1
1439020,1439020_1.jpg,True,1
1440010,1440010_1.jpg,True,1
1441008,1441008_1.jpg,True,1
1442,1442_1.jpg,True,1
1443,1443_1.jpg,True,1
1444,1444_1.jpg,True,1
1445025,1445025_1.jpg,True,1
1446014,1446014_1.jpg,True,1
1447030,1447030_1.jpg,True,1
1448040,1448040_1.png,True,1
1449021,1449021_1.jpg,True,1
1450012,1450012_1.jpg,True,1
1451050,1451050_1.jpg,True,1
1452035,1452035_1.jpg,True,1
1453070,1453070_1.jpg,True,1
1454020,1454020_1.png,True,1
1455045,1455045_1.png,True,1
1455050,1455050_1.png,True,1
1456013,1456013_1.jpg,True,1
1456030,1456030_1.jpg,True,1
1457020,1457020_1.png,True,1
1458020,1458020_1.png,True,1
1459016,1459016_1.png,True,1
1465035,1465035_1.png,True,1
1465040,1465040_1.png,True,1
1465050,1465050_1.png,True,1
1465070,1465070_1.png,True,1
1466013,1466013_1.png,True,1
1467010,1467010_1.png,True,1
1468015,1468015_1.png,True,1
1469015,1469015_1.png,True,1
1470720,1470720_1.png,True,1
1471025,1471025_1.jpg,True,1
1472015,1472015_1.jpg,True,1
1472018,1472018_1.jpg,True,1
1474815,1474815_1.png,True,1
1475818,1475818_1.jpg,True,1
1476013,1476013_1.jpg,True,1
1476015,1476015_1.jpg,True,1
1476017,1476017_1.jpg,True,1
1477025,1477025_1.jpg,True,1
1478016,1478016_1.png,True,1
1480012,1480012_1.png,True,1
14810065,14810065_1.png,True,1
1481025,1481025_1.png,True,1
1481030,1481030_1.png,True,1
1481035,1481035_1.png,True,1
1481040,1481040_1.png,True,1
1481045,1481045_1.png,True,1
1481055,1481055_1.png,True,1
1481060,1481060_1.png,True,1
14820100,14820100_1.png,True,1
1482030,1482030_1.png,True,1
1482040,1482040_1.png,True,1
1482050,1482050_1.png,True,1
1482060,1482060_1.png,True,1
1482080,1482080_1.png,True,1
1483918,1483918_1.jpg,True,1
1484046,1484046_1.jpg,True,1
1486025,1486025_1.jpg,True,1
1487090,1487090_1.jpg,True,1
1488040,1488040_1.jpg,True,1
1489,1489_1.jpg,True,1
1490,1490_1.jpg,True,1
1491,1491_1.png,True,1
149204.5,149204.5_1.jpg,True,1
1494020,1494020_1.png,True,1
1495011,1495011_1.jpg,True,1
1497025,1497025_1.png,True,1
1498012.5,1498012.5_1.png,True,1
1500,1500_1.png,True,1
1501,1501_1.png,True,1
1503,1503_1.png,True,1
1504080,1504080_1.png,True,1
1505917,1505917_1.png,True,1
1505921,1505921_1.png,True,1
1506070,1506070_1.png,True,1
1507040,1507040_1.png,True,1
1508025,1508025_1.jpg,True,1
1509020,1509020_1.png,True,1
1510015,1510015_1.png,True,1
1512011,1512011_1.jpg,True,1
1513045,1513045_1.jpg,True,1
1515010,1515010_1.jpg,True,1
1519,1519_1.jpg,True,1
1520,1520_1.jpg,True,1
1521,1521_1.jpg,True,1
1522024,1522024_1.png,True,1
1524034,1524034_1.jpg,True,1
1525039,1525039_1.png,True,1
1526008,1526008_1.jpg,True,1
1527020,1527020_1.jpg,True,1
1529010,1529010_1.png,True,1
1530007,1530007_1.png,True,1
1531070,1531070_1.jpeg,True,1
1532025,1532025_1.jpg,True,1
1533012,1533012_1.jpg,True,1
1534006,1534006_1.jpg,True,1
1536039,1536039_1.jpg,True,1
1537210,1537210_1.jpg,True,1
1538210,1538210_1.jpg,True,1
1539025,1539025_1.jpg,True,1
1540020,1540020_1.jpg,True,1
1541,1541_1.jpg,True,1
1542026,1542026_1.jpg,True,1
1545045,1545045_1.png,True,1
1546030,1546030_1.jpg,True,1
1548046,1548046_1.png,True,1
1549012,1549012_1.jpg,True,1
1551027,1551027_1.jpg,True,1
1552016,1552016_1.jpg,True,1
1552030,1552030_1.jpg,True,1
15533030,15533030_1.jpg,True,1
1554022,1554022_1.jpg,True,1
155607.81,155607.81_1.jpg,True,1
1557012,1557012_1.jpg,True,1
1558008,1558008_1.jpg,True,1
1559036,1559036_1.png,True,1
1560720,1560720_1.jpg,True,1
156109,156109_1.png,True,1
