 ÜRÜN GÖRSELİ; ÜRÜN STOK KODU;ÜRÜN KATEGORİ GRUBU;ÜRÜN DETAYI (mm);ÜRÜN DETAYI (Boy);ÜRÜN GRAMI;ÜRÜN GÖZ SAYISI ;ÜRÜN AÇIKLAMASI;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12
;464/213;RİVET;13 mm ;21;?;?;;;;;;
;465/840;SALLANTI;40 mm ;64;?;?;;;;;;
;466/120;RİVET;20 mm ;32;?;?;;;;;;
;467/212;RİVET;12 mm ;19;?;?;;;;;;
;468/219;RİVET;19 mm ;30;?;?;;;;;;
;469/210;RİVET;10 mm ;16;?;?;;;;;;
;470/912;ÜSTTEN DİKME DÜĞME;12 mm ;19;?;?;;;;;;
;471/223;RİVET;23 mm ;37;?;?;;;;;;
;472/010;TOKA;10 mm ;16;?;?;;;;;;
;473/011;TOKA;11 mm ;18;?;?;;;;;;
;"474/008;009;011";TOKA;08 mm / 09 mm / 11 mm ;13 Boy / 14 Boy / 18 Boy ;?;?;;;;;;
;"475/010;012;018,020";TOKA;10 mm / 12 mm / 18 mm / 20 mm ;16 Boy / 19 Boy / 29 Boy / 32 Boy ;?;?;;;;;;
;476/016;TOKA;16 mm ;26;?;?;;;;;;
YOK;477/622;ÇAKMA DÜĞME;22 mm ;35;?;?;;;;;;
;478/012;ALTTAN DİKME DÜĞME;12 mm ;19;?;?;;;;;;
;"481/ 210;212";RİVET;10 mm / 12 mm ;16 Boy / 19 Boy ;?;?;;;;;;
;"482/210; 214";RİVET;10 mm / 14 mm ;16 Boy / 22 Boy ;?;?;;;;;;
;483/212;RİVET;12 mm ;19;?;?;;;;;;
;"484/210;620";RİVET;10 mm ;16;?;?;;;;;;
;"484/210;620";ÇAKMA DÜĞME;20 mm ;32;?;?;;;;;;
;485/212;RİVET;12 mm ;19;?;?;;;;;;
;"486/210;214;620";RİVET;10 mm / 14 mm ;16 Boy / 22 Boy ;?;?;;;;;;
;"486/210;214;620";ÇAKMA DÜĞME;20 mm ;32;?;?;;;;;;
;487/820;SALLANTI;20 mm ;32;?;?;;;;;;
;488/823;SALLANTI;23 mm ;37;?;?;;;;;;
;489/216;RİVET;16 mm ;26;?;?;;;;;;
;"490/210;214;620";RİVET;10 mm / 14 mm ;16 Boy / 22 Boy ;?;?;;;;;;
;"490/210;214;620";ÇAKMA DÜĞME;20 mm ;32;?;?;;;;;;
;491/212;RİVET;12 mm ;19;?;?;;;;;;
;492/214;RİVET;14 mm ;22;?;?;;;;;;
;493/215;RİVET;15 mm ;24;?;?;;;;;;
;494/214;RİVET;14 mm ;22;?;?;;;;;;
;495/212;RİVET;12 mm ;19;?;?;;;;;;
;496/212;RİVET;12 mm;19;?;?;;;;;;
;497/212;RİVET;12 mm;19;?;?;;;;;;
;498/212;RİVET;12 mm;19;?;?;;;;;;
;499/213;RİVET;13 mm ;21;?;?;;;;;;
;"500/010;012";TOKA;10 mm / 12 mm ;16 Boy / 19 Boy ;?;?;;;;;;
;501/212;RİVET;12 mm ;19;?;?;;;;;;
;502/817;SALLANTI;17 mm ;27;?;?;;;;;;
;503/820;SALLANTI;20 mm ;32;?;?;;;;;;
;504/212;RİVET;12 mm ;19;?;?;;;;;;
;505/215;RİVET;15 mm ;24;?;?;;;;;;
;506/214;RİVET;14 mm ;22;?;?;;;;;;
;507/212;RİVET;12 mm ;19;?;?;;;;;;
;508/824;SALLANTI;24 mm ;38;?;?;;;;;;
;509/218;RİVET;18 mm ;29;?;?;;;;;;
;510/214;RİVET;14 mm ;22;?;?;;;;;;
;"511/210;214;620";RİVET;10 mm / 14 mm ;16 Boy / 22 Boy ;?;?;;;;;;
;"511/210;214;620";ÇAKMA DÜĞME;20 mm ;32;?;?;;;;;;
;"512/210;214;620";RİVET;10 mm / 14 mm ;16 Boy / 22 Boy ;?;?;;;;;;
;"512/210;214;620";ÇAKMA DÜĞME;20 mm ;32;?;?;;;;;;
;513/212;RİVET;12 mm ;19;?;?;;;;;;
;"514/210;810";RİVET;10 mm ;16;?;?;;;;;;
;"514/210;810";SALLANTI;10 mm ;16;?;?;;;;;;
;"515/210;214;620";RİVET;10 mm / 14 mm ;16 Boy / 22 Boy ;?;?;;;;;;
;"515/210;214;620";ÇAKMA DÜĞME;20 mm ;32;?;?;;;;;;
;"516/210;214;620";RİVET;10 mm / 14 mm ;16 Boy / 22 Boy ;?;?;;;;;;
;"516/210;214;620";ÇAKMA DÜĞME;20 mm ;32;?;?;;;;;;
;517/214;RİVET;14 mm ;22;?;?;;;;;;
;518/214;RİVET;14 mm ;22;?;?;;;;;;
;519/214;RİVET;14 mm ;22;?;?;;;;;;
;"520/214;620";RİVET;14 mm ;22;?;?;;;;;;
;"520/214;620";ÇAKMA DÜĞME;20 mm ;32;?;?;;;;;;
;521/214;RİVET;14 mm ;22;?;?;;;;;;
;522/830;SALLANTI;30 mm ;48;?;?;;;;;;
;523/214;RİVET;14 mm ;22;?;?;;;;;;
;524/214;RİVET;14 mm ;22;?;?;;;;;;
;525/830;SALLANTI;30 mm ;48;?;?;;;;;;
;526/214;RİVET;14 mm ;22;?;?;;;;;;
;527/ 040;TOKA;40 mm ;64;?;?;;;;;;
;528/118;RİVET;18 mm ;29;?;?;;;;;;
;"529/020;025";TOKA;20 mm / 25 mm ;32 Boy / 40 Boy ;?;?;;;;;;
;530/215;RİVET;15 mm ;24;?;?;;;;;;
;"531/215;620";RİVET;15 mm ;24;?;?;;;;;;
;"531/215;620";ÇAKMA DÜĞME;20 mm ;32;?;?;;;;;;
;532/215;RİVET;15 mm ;24;?;?;;;;;;
;"533/124;124;D";RİVET;124 mm / 124D mm ;198;?;?;;;;;;
;"534 / 723 ; 711";ÇIT ÇIT;11 mm / 23 mm ;18 Boy / 37 Boy ;?;?;;;;;;
;"535 / 025;030";TOKA;25 mm / 30 mm ;40 Boy / 48 Boy ;?;?;;;;;;
;536_012_015;TOKA;12 mm / 15 mm ;19 Boy / 24 Boy ;?;?;;;;;;
;537/015_025;TOKA;15 mm / 25 mm ;24 Boy / 40 Boy ;?;?;;;;;;
;"538/030;040;050;020;025";TOKA;20 mm / 25 mm / 30 mm / 40 mm / 50 mm ;32 Boy / 40 Boy / 48 Boy / 64 Boy / 80 Boy ;?;?;;;;;;
;539/012;TOKA;12 mm ;19;?;?;;;;;;
;540  / 012 ;TOKA;12 mm ;19;?;?;;;;;;
;541 / 038;TOKA;38 mm ;61;?;?;;;;;;
;542/015,012;TOKA;12 mm / 15 mm ;19 Boy / 24 Boy ;?;?;;;;;;
;"543/012;015";TOKA;12 mm / 15 mm ;19 Boy / 24 Boy ;?;?;;;;;;
;"544/108;110";RİVET;08 mm / 10 mm ;13 Boy / 16 Boy ;?;?;;;;;;
;545/023;ALTTAN DİKME DÜĞME;23 mm ;37;?;?;;;;;;
;546/828;SALLANTI;28 mm ;45;?;?;;;;;;
;547/020;TOKA;20 mm ;32;?;?;;;;;;
;"548/020;014";TOKA;14 mm / 20 mm ;22 Boy / 32 Boy ;?;?;;;;;;
;"549/215;620";RİVET;15 mm ;24;?;?;;;;;;
;"549/215;620";ÇAKMA DÜĞME;20 mm ;32;?;?;;;;;;
;550/210;RİVET;10 mm ;16;?;?;;;;;;
;"551/010;013";TOKA;10 mm / 13 mm ;16 Boy / 21 Boy ;?;?;;;;;;
;"552/012 ;010;008;018";TOKA;08 mm / 10 mm / 12 mm / 18 mm ;13 Boy / 16 Boy / 19 Boy / 29 Boy ;?;?;;;;;;
;"553/015;012";TOKA;12 mm / 15 mm ;19 Boy / 24 Boy ;?;?;;;;;;
;"554/060_ÜST;060-ALT";TOKA;60 mm;96;?;?;;;;;;
;"555/060;";TOKA;60 mm ;96;?;?;;;;;;
;556/020;TOKA;20 mm ;32;?;?;;;;;;
;557/040;TOKA;40 mm ;64;?;?;;;;;;
;558/840;SALLANTI;40 mm ;64;?;?;;;;;;
;"559/212;620";RİVET;12 mm ;19;?;?;;;;;;
;"559/212;620";ÇAKMA DÜĞME;20 mm ;32;?;?;;;;;;
;"560/212;620";RİVET;12 mm ;19;?;?;;;;;;
;"560/212;620";ÇAKMA DÜĞME;20 mm ;32;?;?;;;;;;
;"561/212;620";RİVET;12 mm ;19;?;?;;;;;;
;"561/212;620";ÇAKMA DÜĞME;20 mm ;32;?;?;;;;;;
;"562/210;620";RİVET;10 mm ;16;?;?;;;;;;
;"562/210;620";ÇAKMA DÜĞME;20 mm;32;?;?;;;;;;
;563/210;RİVET;10 mm ;16;?;?;;;;;;
;564/210;RİVET;10 mm ;16;?;?;;;;;;
;565/210;RİVET;10 mm ;16;?;?;;;;;;
;"566/210;620";RİVET;10 mm ;16;?;?;;;;;;
;"566/210;620";ÇAKMA DÜĞME;20 mm ;32;?;?;;;;;;
;"567/210;620";RİVET;10 mm ;16;?;?;;;;;;
;"567/210;620";ÇAKMA DÜĞME;20 mm ;32;?;?;;;;;;
;568/212;RİVET;12 mm ;19;?;?;;;;;;
;569/210/220;RİVET;10 mm / 20 mm;16 Boy / 32 Boy ;?;?;;;;;;
;"570/210;110";RİVET;10 mm ;16;?;?;;;;;;
;"571/210;620";RİVET;10 mm ;16;?;?;;;;;;
;"571/210;620";ÇAKMA DÜĞME;20 mm ;32;?;?;;;;;;
;572/050-050(3.45);TOKA;50 mm ;80;?;?;;;;;;
;573/051-051-ALT;TOKA;51 mm ;82;?;?;;;;;;
;574/035;TOKA;35 mm ;56;?;?;;;;;;
;"575/212;620";RİVET;12 mm ;19;?;?;;;;;;
;"575/212;620";ÇAKMA DÜĞME;20 mm ;32;?;?;;;;;;
;576/212;RİVET;12 mm ;19;?;?;;;;;;
;577/210;RİVET;10 mm ;16;?;?;;;;;;
;578/212;RİVET;12 mm ;19;?;?;;;;;;
;579/210;RİVET;10 mm ;16;?;?;;;;;;
;580/212;RİVET;12 mm ;19;?;?;;;;;;
;581/212;RİVET;12 mm ;19;?;?;;;;;;
;"582/212;620";RİVET;12 mm ;19;?;?;;;;;;
;"582/212;620";ÇAKMA DÜĞME;20 mm ;32;?;?;;;;;;
;583/212;RİVET;12 mm ;19;?;?;;;;;;
;584/212;RİVET;12 mm;19;?;?;;;;;;
;585 / 928;ÜSTTEN DİKME DÜĞME;28 mm ;45;?;?;;;;;;
;"586/620;212";RİVET;12 mm ;19;?;?;;;;;;
;"586/620;212";ÇAKMA DÜĞME;20 mm ;32;?;?;;;;;;
;587/106;RİVET;06 mm ;10;?;?;;;;;;
;588/016 KOL DÜGMESİ;ALTTAN DİKME DÜĞME;16 mm ;26;?;?;;;;;;
;"589/026;126";TOKA;26 mm ;42;?;?;;;;;;
;"589/026;126";RİVET;26 mm ;42;?;?;;;;;;
;590/018 KOL DÜGMESİ;ALTTAN DİKME DÜĞME;18 mm ;29;?;?;;;;;;
;"591/210;215";RİVET;10 mm / 15 mm ;16 Boy / 24 Boy ;?;?;;;;;;
;592/057;TOKA;57 mm ;91;?;?;;;;;;
;593/215;RİVET;15 mm ;24;?;?;;;;;;
;594/012;ALTTAN DİKME DÜĞME;12 mm ;19;?;?;;;;;;
;595/720;ÇIT ÇIT;20 mm ;32;?;?;;;;;;
;596/215;RİVET;15 mm ;24;?;?;;;;;;
;597/040;TOKA;40 mm ;64;?;?;;;;;;
;598/212;RİVET;12 mm ;19;?;?;;;;;;
;599/210;RİVET;10 mm ;16;?;?;;;;;;
;600/210;RİVET;10 mm ;16;?;?;;;;;;
;601/210;RİVET;10 mm;16;?;?;;;;;;
;602/010;ALTTAN DİKME DÜĞME;10 mm;16;?;?;;;;;;
;"603/210;620";RİVET;10 mm ;16;?;?;;;;;;
;"603/210;620";ÇAKMA DÜĞME;20 mm ;32;?;?;;;;;;
;604/027;TOKA;27 mm ;43;?;?;;;;;;
;605/210;RİVET;10 mm ;16;?;?;;;;;;
;606/210;RİVET;10 mm ;16;?;?;;;;;;
;"607/208;213;215;210";RİVET;8 mm / 10 mm / 13 mm / 15 mm ;13 Boy / 16 Boy / 21 Boy / 24 Boy ;?;?;;;;;;
;608/210;RİVET;10 mm ;16;?;?;;;;;;
;609/107;RİVET;07 mm ;11;?;?;;;;;;
;610/210;RİVET;10 mm ;16;?;?;;;;;;
;611/212;RİVET;12 mm ;19;?;?;;;;;;
;612 /212;RİVET;12 mm ;19;?;?;;;;;;
;613 / 212;RİVET;12 mm ;19;?;?;;;;;;
;614/212;RİVET;12 mm ;19;?;?;;;;;;
;615/212;RİVET;12 mm ;19;?;?;;;;;;
;616/211;RİVET;11 mm ;18;?;?;;;;;;
;617/211;RİVET;11 mm ;18;?;?;;;;;;
;618/210;RİVET;10 mm ;16;?;?;;;;;;
;619/209;RİVET;09 mm ;14;?;?;;;;;;
;620/215;RİVET;15 mm ;24;?;?;;;;;;
;621/107;RİVET;07 mm ;11;?;?;;;;;;
;622/211;RİVET;11 mm ;18;?;?;;;;;;
;623/209;RİVET;09 mm ;14;?;?;;;;;;
;624/219;RİVET;19 mm ;30;?;?;;;;;;
;"625/210;620";RİVET;10 mm ;16;?;?;;;;;;
;"625/210;620";ÇAKMA DÜĞME;20 mm ;32;?;?;;;;;;
;626/213 626_013;RİVET;13 mm ;21;?;?;;;;;;
;626/213 626_013;ALTTAN DİKME DÜĞME;13 mm ;21;?;?;;;;;;
;627/214;RİVET;14 mm ;22;?;?;;;;;;
;628/214;RİVET;14 mm ;22;?;?;;;;;;
;629/209;RİVET;09 mm ;14;?;?;;;;;;
;630/212;RİVET;12 mm ;19;?;?;;;;;;
;631/211;RİVET;11 mm ;18;?;?;;;;;;
;632/213;RİVET;13 mm ;21;?;?;;;;;;
;633/207;RİVET;07 mm ;11;?;?;;;;;;
;634/208;RİVET;08 mm ;13;?;?;;;;;;
;635/925;ÜSTTEN DİKME DÜĞME;25 mm ;40;?;?;;;;;;
;"636/105;209";RİVET;09 mm ;14;?;?;;;;;;
;"637/206;209";RİVET;06 mm / 09 mm ;10 Boy / 14 Boy ;?;?;;;;;;
;"638/209;620";ÇAKMA DÜĞME;20 mm ;32;?;?;;;;;;
;"638/209;620";RİVET;09 mm ;17;?;?;;;;;;
;639/217;RİVET;17 mm ;27;?;?;;;;;;
;640/212;RİVET;12 mm ;19;?;?;;;;;;
;641/212;RİVET;12 mm ;19;?;?;;;;;;
;642/210;RİVET;10 mm ;16;?;?;;;;;;
;643/210/209;RİVET;09 mm / 10 mm ;14 Boy / 16 Boy ;?;?;;;;;;
;644/016;TOKA;16 mm ;26;?;?;;;;;;
;645/015;TOKA;15 mm ;24;?;?;;;;;;
;646/219;RİVET;19 mm ;30;?;?;;;;;;
;"647/212;210";RİVET;10 mm / 12 mm ;16 Boy / 19 Boy ;?;?;;;;;;
;648/913;ÜSTTEN DİKME DÜĞME;13 mm ;21;?;?;;;;;;
;649/050;TOKA;50 mm ;80;?;?;;;;;;
;650/023;TOKA;23 mm ;37;?;?;;;;;;
;651/618/209;ÇAKMA DÜĞME;18 mm;29;?;?;;;;;;
;651/618/209;RİVET;09 mm;14;?;?;;;;;;
;652/045;TOKA;45 mm;72;?;?;;;;;;
;653/709;ÇIT ÇIT;09 mm;14;?;?;;;;;;
;654_032;TOKA;32 mm;51;?;?;;;;;;
;655_217;RİVET;17 mm;27;?;?;;;;;;
;656_207/656_620;RİVET;07 mm;11;?;?;;;;;;
;656_207/656_620;ÇAKMA DÜĞME;20 mm;32;?;?;;;;;;
;657_208/657_620;RİVET;08 mm;13;?;?;;;;;;
;657_208/657_620;ÇAKMA DÜĞME;20 mm;32;?;?;;;;;;
;658_208/658_620;RİVET;08 mm;13;?;?;;;;;;
;658_208/658_620;ÇAKMA DÜĞME;20 mm;32;?;?;;;;;;
;659_210/659_620;RİVET;10 mm;16;?;?;;;;;;
;659_210/659_620;ÇAKMA DÜĞME;20 mm;32;?;?;;;;;;
;660_211/660_620;RİVET;11 mm;18;?;?;;;;;;
;660_211/660_620;ÇAKMA DÜĞME;20 mm;32;?;?;;;;;;
;661_210/661_620;RİVET;10 mm;16;?;?;;;;;;
;661_210/661_620;ÇAKMA DÜĞME;20 mm;32;?;?;;;;;;
;662_210/662_620;RİVET;10 mm;16;?;?;;;;;;
;662_210/662_620;ÇAKMA DÜĞME;20 mm;32 Boy  ;?;?;;;;;;
;663_020;TOKA;20 mm;32;?;?;;;;;;
;664_213;RİVET;13 mm;21;?;?;;;;;;
;665_210;RİVET;10 mm;16;?;?;;;;;;
;666_010;TOKA;10 mm;16;?;?;;;;;;
;667_015;ALTTAN DİKME DÜĞME;15 mm;24;?;?;;;;;;
;668_208;RİVET;08 mm;13;?;?;;;;;;
;669_712;ÇIT ÇIT;12 mm;19;?;?;;;;;;
;670_106;RİVET;06 mm;10;?;?;;;;;;
;671_111;RİVET;11 mm;18;?;?;;;;;;
;672_713;ÇIT ÇIT;13 mm;21;?;?;;;;;;
;673_212;RİVET;12 mm;19;?;?;;;;;;
;674_013;ALTTAN DİKME DÜĞME;13 mm;21;?;?;;;;;;
;675_210;RİVET;10 mm;16;?;?;;;;;;
;676_213;RİVET;13 mm;21;?;?;;;;;;
;678_020;TOKA;20 mm;32;?;?;;;;;;
;679_208;RİVET;08 mm;13;?;?;;;;;;
;680_212;RİVET;12 mm;19;?;?;;;;;;
;681_212;RİVET;12 mm;19;?;?;;;;;;
;682_012;TOKA;12 mm;19;?;?;;;;;;
;683_045;TOKA;45 mm;72;?;?;;;;;;
;684045;TOKA;45 mm;72;?;?;;;;;;
;685014;TOKA;14 mm;22;?;?;;;;;;
;68601822;?;18 mm / 22 mm;29 Boy / 35 Boy ;?;?;;;;;;
;687042;?;42 mm;67;?;?;;;;;;
;688056;TOKA;56 mm;90;?;?;;;;;;
;689212;RİVET;12 mm;19;?;?;;;;;;
;690212;RİVET;12 mm;19;?;?;;;;;;
;691212/620;RİVET;12 mm;19;?;?;;;;;;
;691212/620;ÇAKMA DÜĞME;20 mm;32;?;?;;;;;;
;692213;RİVET;13 mm;21;?;?;;;;;;
;693212;RİVET;12 mm;19;?;?;;;;;;
;694212/620;RİVET;12 mm;19;?;?;;;;;;
;694212/620;ÇAKMA DÜĞME;20 mm;32;?;?;;;;;;
;695_212;RİVET;12 mm;19;?;?;;;;;;
;696_211/620;RİVET;11 mm;18;?;?;;;;;;
;696_211/620;ÇAKMA DÜĞME;20 mm;32;?;?;;;;;;
;697210;RİVET;10 mm;16 Boy  ;?;?;;;;;;
;698213/208/209;RİVET;08 mm / 09 mm / 13 mm;13 Boy / 14 Boy / 21 Boy ;?;?;;;;;;
;699211;RİVET;11 mm;18 Boy  ;?;?;;;;;;
;700212;RİVET;12 mm;19 Boy  ;?;?;;;;;;
;701211;RİVET;11 mm;18 Boy  ;?;?;;;;;;
;702_212;RİVET;12 mm;19 Boy  ;?;?;;;;;;
;703212;RİVET;12 mm;19;?;?;;;;;;
;704027;?;27 mm;43;?;?;;;;;;
;705212;RİVET;12 mm;19;?;?;;;;;;
;706711;ÇIT ÇIT;11 mm;18;?;?;;;;;;
;707212;RİVET;12 mm;19;?;?;;;;;;
;708205;RİVET;05 mm;8;?;?;;;;;;
;709212;RİVET;12 mm;19;?;?;;;;;;
;710215;RİVET;15 mm;24;?;?;;;;;;
;711210;RİVET;10 mm;16;?;?;;;;;;
;712210;RİVET;10 mm;16;?;?;;;;;;
;713023;?;23 mm;37;?;?;;;;;;
;714210;RİVET;10 mm;16;?;?;;;;;;
;715010;?;10 mm;16;?;?;;;;;;
;716213;RİVET;13 mm;21;?;?;;;;;;
;717209;RİVET;09 mm;14;?;?;;;;;;
;718207;RİVET;07 mm;11;?;?;;;;;;
;719045;TOKA;45 mm;72;?;?;;;;;;
;720011;TOKA;11 mm;18;?;?;;;;;;
;721617;ÇAKMA DÜĞME;17 mm;27;?;?;;;;;;
;722046;TOKA;46 mm;74;?;?;;;;;;
;723210;RİVET;10 mm;16;?;?;;;;;;
;724218214;RİVET;14 mm / 18 mm;22 Boy / 29 Boy ;?;?;;;;;;
;725209;RİVET;09 mm;14;?;?;;;;;;
;726210;RİVET;10 mm;16;?;?;;;;;;
;727210;RİVET;10 mm;16;?;?;;;;;;
;728062;TOKA;62 mm;99;?;?;;;;;;
;729059;TOKA;59 mm;94;?;?;;;;;;
;730210;RİVET;10 mm;16;?;?;;;;;;
;731209;RİVET;09 mm;14;?;?;;;;;;
;732_210/208/620/209;RİVET;08 mm / 09 mm / 10 mm;13 Boy / 14 Boy / 16 Boy ;?;?;;;;;;
;732_210/208/620/209;ÇAKMA DÜĞME;20 mm;32;?;?;;;;;;
;733210;RİVET;10 mm;16;?;?;;;;;;
;734210;RİVET;10 mm;16;?;?;;;;;;
;735210/209;RİVET;09 mm / 10 mm;14 Boy / 16 Boy ;?;?;;;;;;
;736210;RİVET;10 mm;16;?;?;;;;;;
;737210;RİVET;10 mm;16;?;?;;;;;;
;738210;RİVET;10 mm;16;?;?;;;;;;
;739210;RİVET;10 mm;16;?;?;;;;;;
;740210;RİVET;10 mm;16;?;?;;;;;;
;741043/029;TOKA;29 mm / 43 mm;46 Boy / 69 Boy ;?;?;;;;;;
;742008/010;TOKA;08 mm/ 10 mm;13 Boy / 16 Boy ;?;?;;;;;;
;743209/620;RİVET;09 mm;14;?;?;;;;;;
;743209/620;ÇAKMA DÜĞME;20 mm;32;?;?;;;;;;
;744209;RİVET;09 mm;14;?;?;;;;;;
;745209;RİVET;09 mm;14;?;?;;;;;;
;746209;RİVET;09 mm;14;?;?;;;;;;
;747027;TOKA;27 mm;43;?;?;;;;;;
;748208;RİVET;08 mm;13;?;?;;;;;;
;749208620;RİVET;08 mm;13;?;?;;;;;;
;749208620;ÇAKMA DÜĞME;20 mm;32;?;?;;;;;;
;750206;RİVET;06 mm;10;?;?;;;;;;
;751027;TOKA;27 mm;43;?;?;;;;;;
;752031035;TOKA;31 mm / 35 mm;50 Boy / 56 Boy ;?;?;;;;;;
;753_032;TOKA;32 mm;51;?;?;;;;;;
;754210;RİVET;10 mm;16;?;?;;;;;;
;755208;RİVET;08 mm;13;?;?;;;;;;
;756208;RİVET;08 mm;13;?;?;;;;;;
;757208620;RİVET;08 mm;13;?;?;;;;;;
;757208620;ÇAKMA DÜĞME;20 mm;32;?;?;;;;;;
;758208;RİVET;08 mm;13;?;?;;;;;;
;759208;RİVET;08 mm;13;?;?;;;;;;
;760210;RİVET;10 mm;16;?;?;;;;;;
;761020;TOKA;20 mm;32;?;?;;;;;;
;762012;TOKA;12 mm;19;?;?;;;;;;
;763017212;RİVET;12 mm;19;?;?;;;;;;
;763_017/212;ALTTAN DİKME DÜĞME;17 mm;27;?;?;;;;;;
;764034;TOKA;34 mm;54;?;?;;;;;;
;765005;TOKA;05 mm;8;?;?;;;;;;
;766_020;TOKA;20 mm;32;?;?;;;;;;
;766028;TOKA;28 mm;45;?;?;;;;;;
;767020;TOKA;20 mm;32;?;?;;;;;;
;768020;TOKA;20 mm;32;?;?;;;;;;
;768028;TOKA;28 mm;45;?;?;;;;;;
;769025;TOKA;25 mm;40;?;?;;;;;;
;770025;TOKA;25 mm;40;?;?;;;;;;
;771015;TOKA;15 mm;24;?;?;;;;;;
;772010;TOKA;10 mm;16;?;?;;;;;;
;773020;TOKA;20 mm;32;?;?;;;;;;
;774020;TOKA;20 mm;32;?;?;;;;;;
;775_018;TOKA;18 mm;29;?;?;;;;;;
;776016;TOKA;16 mm;26;?;?;;;;;;
;777030;TOKA;30 mm;48;?;?;;;;;;
;778011;TOKA;11 mm;18;?;?;;;;;;
;779043;TOKA;43 mm;69;?;?;;;;;;
;780023;TOKA;23 mm;37;?;?;;;;;;
;781215212;RİVET;12 mm / 15 mm;19 Boy / 24 Boy ;?;?;;;;;;
;782212209;RİVET;09 mm / 12 mm;14 Boy / 19 Boy ;?;?;;;;;;
;783212;RİVET;12 mm;19;?;?;;;;;;
;784209;RİVET;09 mm;14;?;?;;;;;;
;785209;RİVET;09 mm;14;?;?;;;;;;
;786724;ÇIT ÇIT;24 mm;38;?;?;;;;;;
;787213;RİVET;13 mm;21;?;?;;;;;;
;788214;RİVET;14 mm;22;?;?;;;;;;
;789213;RİVET;13 mm;21;?;?;;;;;;
;790057;TOKA;57 mm;91;?;?;;;;;;
;791024;TOKA;24 mm;38;?;?;;;;;;
;792009;?;09 mm;14;?;?;;;;;;
;793209;RİVET;09 mm;14;?;?;;;;;;
;794012;?;12 mm;19;?;?;;;;;;
;794015012;?;12 mm / 15 mm;19 Boy / 24 Boy ;?;?;;;;;;
;796210;RİVET;10 mm;16;?;?;;;;;;
;797209;RİVET;09 mm;14;?;?;;;;;;
;798620210;RİVET;10 mm;16;?;?;;;;;;
;798_620/210;ÇAKMA DÜĞME;20 mm;32;?;?;;;;;;
;799013;?;13 mm;21;?;?;;;;;;
;800030;TOKA;30 mm;48;?;?;;;;;;
;801031;TOKA;31 mm;50;?;?;;;;;;
;802030;TOKA;30 mm;48;?;?;;;;;;
;803210/212A;RİVET;10 mm / 12A mm;16 Boy / 19 Boy ;?;?;;;;;;
;803208A;RİVET;08A mm;13;?;?;;;;;;
;803208B;RİVET;08B mm;13;?;?;;;;;;
;803210B;RİVET;10B mm;16;?;?;;;;;;
;803210C;RİVET;10C mm;16;?;?;;;;;;
;803210D;RİVET;10D mm;16;?;?;;;;;;
;803_208_C/212_B;RİVET;08C mm / 12B mm;13 Boy / 19 Boy ;?;?;;;;;;
;803208D;RİVET;08D mm;13;?;?;;;;;;
;803210E;RİVET;10E mm;16;?;?;;;;;;
;803212C;RİVET;12C mm;19;?;?;;;;;;
;803212D;RİVET;12D mm;19;?;?;;;;;;
;803209A;RİVET;09A mm;14;?;?;;;;;;
;803212E;RİVET;12E mm;19;?;?;;;;;;
;803212F;RİVET;12F mm;19;?;?;;;;;;
;804209;RİVET;09 mm;14;?;?;;;;;;
;805209;RİVET;09 mm;14;?;?;;;;;;
;806209;RİVET;09 mm;14;?;?;;;;;;
;807208;RİVET;08 mm;13;?;?;;;;;;
;808208;RİVET;08 mm;13;?;?;;;;;;
;809209A;RİVET;09 mm;14;?;?;;;;;;
;809209B;RİVET;09 mm;14;?;?;;;;;;
;809209C;RİVET;09 mm;14;?;?;;;;;;
;809210A;RİVET;10 mm;16;?;?;;;;;;
;809_210_B;RİVET;10 mm;16;?;?;;;;;;
;809208A;RİVET;08 mm;13;?;?;;;;;;
;809212A;RİVET;12 mm;19;?;?;;;;;;
;809210C;RİVET;10 mm;16;?;?;;;;;;
;809210D;RİVET;10 mm;16;?;?;;;;;;
;809208B;RİVET;08 mm;13;?;?;;;;;;
;809210E;RİVET;10 mm;16;?;?;;;;;;
;809212B;RİVET;12 mm;19;?;?;;;;;;
;809210F;RİVET;10 mm;16;?;?;;;;;;
;809210G;RİVET;10 mm;16;?;?;;;;;;
;809210H;RİVET;10 mm;16;?;?;;;;;;
;809210I;RİVET;10 mm;16;?;?;;;;;;
;810208620;RİVET;08 mm;13;?;?;;;;;;
;810208620;ÇAKMA DÜĞME;20 mm;32;?;?;;;;;;
;811208620;RİVET;08 mm;13;?;?;;;;;;
;811208620;ÇAKMA DÜĞME;20 mm;32;?;?;;;;;;
;812209212;RİVET;09 mm / 12 mm;14 Boy / 19 Boy ;?;?;;;;;;
;813209;RİVET;09 mm;14;?;?;;;;;;
;814208;RİVET;08 mm;13;?;?;;;;;;
;815209620;RİVET;09 mm;14;?;?;;;;;;
;815209620;ÇAKMA DÜĞME;20 mm;32;?;?;;;;;;
;816209620;RİVET;09 mm;14;?;?;;;;;;
;816209620;ÇAKMA DÜĞME;20 mm;32;?;?;;;;;;
;817209;RİVET;09 mm;14;?;?;;;;;;
;818208;RİVET;"08 mm
";13;?;?;;;;;;
;819208/212620;RİVET;08 mm / 12 mm;13 Boy / 19 Boy ;?;?;;;;;;
