 ÜRÜN GÖRSELİ; ÜRÜN STOK KODU;ÜRÜN KATEGORİ GRUBU;ÜRÜN DETAYI (mm);ÜRÜN DETAYI (Boy);ÜRÜN GRAMI;ÜRÜN GÖZ SAYISI ;ÜRÜN AÇIKLAMASI;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12
;"133/108;
208;210;212;
214;114;614;
616;618;620;";ÇAKMA DÜĞME;14 mm / 16 mm / 18 mm / 20 mm ;22 Boy / 26 Boy / 29 Boy / 32 Boy ;?;?;;;;;;
;"134/915;917;920";ÜSTTEN DİKME DÜĞME;15 mm / 17 mm / 20 mm;24 Boy / 27 Boy / 32 Boy ;?;?;;;;;;
;"135/618;214,5;
214,5-E;618-E;";RİVET;15 mm / 15E mm;24 Boy / 24 Boy ;?;?;;;;;;
;"135/618;214,5;
214,5-E;618-E;";ÇAKMA DÜĞME;18 mm / 18E mm;29 Boy / 29 Boy ;?;?;;;;;;
;"136/714;716;
718;720;106;
206;208;210;
212;214;620;622";RİVET;06 mm / 08 mm / 10 mm / 12 mm / 14 mm;10 Boy / 13 Boy / 16 Boy / 19 Boy / 22 Boy ;?;?;;;;;;
;"136/714;716;
718;720;106;
206;208;210;
212;214;620;622";ÇIT ÇIT;14 mm / 16 mm / 18 mm / 20 mm;22 Boy / 26 Boy / 29 Boy / 32 Boy ;?;?;;;;;;
;"136/714;716;
718;720;106;
206;208;210;
212;214;620;622";ÇAKMA DÜĞME;20 mm / 22 mm;32 Boy / 35 Boy ;?;?;;;;;;
;"137/214;618;
620;624;014;";RİVET;14 mm;22;?;?;;;;;;
;"137/214;618;
620;624;014;";ÇAKMA DÜĞME;18 mm / 20 mm / 24 mm;29 Boy / 32 Boy / 38 Boy ;?;?;;;;;;
;"137/214;618;
620;624;014;";ALTTAN DİKME DÜĞME;14 mm ;22;?;?;;;;;;
;"138/907;924;";ÜSTTEN DİKME DÜĞME;07 mm / 24 mm ;11 Boy / 38 Boy ;?;?;;;;;;
YOK;139/924;ÜSTTEN DİKME DÜĞME;24 mm ;38;?;?;;;;;;
;140/212;RİVET;12 mm ;19;?;?;;;;;;
;"141/114;214;
217;714;";RİVET;14 mm / 17 mm;22 Boy / 27 Boy ;?;?;;;;;;
;"141/114;214;
217;714;";ÇIT ÇIT;14 mm;22;?;?;;;;;;
;"142/214;217;
618;714";RİVET;14 mm / 17 mm;22 Boy / 27 Boy ;?;?;;;;;;
;"142/214;217;
618;714";ÇAKMA DÜĞME;18 mm ;29;?;?;;;;;;
;"142/214;217;
618;714";ÇIT ÇIT;14 mm ;22;?;?;;;;;;
;143/618;ÇAKMA DÜĞME;18 mm ;29;?;?;;;;;;
;"144/440;740;";ÇIT ÇIT;40 mm ;64;?;?;;;;;;
;145/209;RİVET;09 mm ;14;?;?;;;;;;
;"146/212;214;618;714";RİVET;12 mm / 14 mm ;19 Boy / 22 Boy ;?;?;;;;;;
;"146/212;214;618;714";ÇAKMA DÜĞME;18 mm ;29;?;?;;;;;;
;"146/212;214;618;714";ÇIT ÇIT;14 mm ;22;?;?;;;;;;
;"147/012;015;017;020";ALTTAN DİKME DÜĞME;12 mm / 15 mm / 17 mm / 20 mm ;19 Boy / 24 Boy / 27 Boy / 32 Boy ;?;?;;;;;;
;"148/915;917;920";ÜSTTEN DİKME DÜĞME;15 mm / 17 mm / 20 mm ;24 Boy / 27 Boy / 32 Boy ;?;?;;;;;;
;"149/028;032;024";ALTTAN DİKME DÜĞME;24 mm / 28 mm / 32 mm;38 Boy / 45 Boy / 51 Boy ;?;?;;;;;;
;"150/206;208;110;115;
008;D;008;010;014;
715;617";RİVET;06 mm / 08 mm / 10 mm / 15 mm ;10 Boy / 13 Boy / 16 Boy / 24 Boy ;?;?;;;;;;
;"150/206;208;110;115;
008;D;008;010;014;
715;617";ALTTAN DİKME DÜĞME;08 mm / 08D mm / 10 mm / 14 mm ;13 Boy / 16 Boy / 22 Boy ;?;?;;;;;;
;"150/206;208;110;115;
008;D;008;010;014;
715;617";ÇIT ÇIT;15 mm ;24;?;?;;;;;;
;"150/206;208;110;115;
008;D;008;010;014;
715;617";ÇAKMA DÜĞME;17 mm ;27;?;?;;;;;;
;151/417;?;17 mm ;27;?;?;;;;;;
;152/214;RİVET;14 mm ;22;?;?;;;;;;
;153/213;RİVET;13 mm ;21;?;?;;;;;;
;"154/004;024";ALTTAN DİKME DÜĞME;04 mm / 24 mm ;6 Boy / 38 Boy ;?;?;;;;;;
;"155/012;014;016;020
KUŞGÖZÜ 5 OLMALI";ALTTAN DİKME DÜĞME;12 mm / 14 mm / 16 mm / 20 mm ;19 Boy / 22 Boy / 26 Boy / 32 Boy ;?;?;;;;;;
;"156/212;617;620;624";RİVET;12 mm ;19;?;?;;;;;;
;"156/212;617;620;624";ÇAKMA DÜĞME;17 mm / 20 mm / 24 mm ;27 Boy / 32 Boy / 38 Boy ;?;?;;;;;;
;"157/214;714";RİVET;14 mm ;22;?;?;;;;;;
;"157/214;714";ÇIT ÇIT;14 mm ;22;?;?;;;;;;
;158/712;ÇIT ÇIT;12 mm ;19;?;?;;;;;;
;"159/012;015;017;020;
018;715;720";ALTTAN DİKME DÜĞME;12 mm / 15 mm / 17 mm / 18 mm / 20 mm ;19 Boy / 24 Boy / 27 Boy / 29 Boy / 32 Boy ;?;?;;;;;;
;"159/012;015;017;020;
018;715;720";ÇIT ÇIT;15 mm / 20 mm;24 Boy / 32 Boy ;?;?;;;;;;
